Id,Label,name,Degree
n249,Sara Bolin,Sara Bolin,24
n250,Sharareh Gholamin,Sharareh Gholamin,24
n251,Siddhartha Mitra,Siddhartha Mitra,24
n252,Simone Schubert,Simone Schubert,24
n253,Steven Schumacher,Steven Schumacher,43
n254,William Gibson,William Gibson,24
n255,William Weiss,William Weiss,37
n256,Yoon-Jae Cho,Yoon-Jae Cho,24
n257,David Margolis,David Margolis,2
n258,Amanda Jamieson,Amanda Jamieson,8
n259,Felix Rosebrock,Felix Rosebrock,8
n260,Isabella Rauch,Isabella Rauch,8
n261,Mathias Müller,Mathias Müller,8
n262,Matthias Muhar,Matthias Muhar,31
n263,Sebastian Wienerroither,Sebastian Wienerroither,8
n264,Alexander Schramm,Alexander Schramm,13
n265,Andrea Odersky,Andrea Odersky,13
n266,Angelika Eggert,Angelika Eggert,13
n267,Anneleen Beckers,Anneleen Beckers,13
n268,Anton Henssen,Anton Henssen,13
n269,Frank Speleman,Frank Speleman,13
n270,Gudrun Fleischhack,Gudrun Fleischhack,13
n271,Johannes Schulte,Johannes Schulte,13
n272,Kristina Althoff,Kristina Althoff,13
n273,Lukas Heukamp,Lukas Heukamp,13
n274,Nicolai El-Hindy,Nicolai El-Hindy,13
n275,Simon Schäfers,Simon Schäfers,13
n276,Theresa Thor,Theresa Thor,13
n277,Christine Helfer,Christine Helfer,9
n278,Jianxin You,Jianxin You,12
n279,Gutian Xiao,Gutian Xiao,4
n280,Lin-Feng Chen,Lin-Feng Chen,4
n281,Petra Mlcochova,Petra Mlcochova,2
n282,Ravindra Gupta,Ravindra Gupta,2
n283,Axel Schambach,Axel Schambach,9
n284,Azar Sharif,Azar Sharif,9
n285,Goedele Maertens,Goedele Maertens,9
n286,Magdalena Weidner-Glunde,Magdalena Weidner-Glunde,18
n287,Melanie Galla,Melanie Galla,9
n288,Michael Rothe,Michael Rothe,9
n289,Peter Cherepanov,Peter Cherepanov,9
n290,Saumya Gupta,Saumya Gupta,9
n291,Thomas Schulz,Thomas Schulz,18
n292,Alec Kimmelman,Alec Kimmelman,14
n293,Eiki Kikuchi,Eiki Kikuchi,14
n294,Esra Akbay,Esra Akbay,14
n295,Jeremy Tchaicha,Jeremy Tchaicha,14
n296,Julian Carretero,Julian Carretero,14
n297,Katherine Cheng,Katherine Cheng,14
n298,Kwok-Kin Wong,Kwok-Kin Wong,14
n299,Margaret Soucheray,Margaret Soucheray,14
n300,Takeshi Shimamura,Takeshi Shimamura,14
n301,Travis Cohoon,Travis Cohoon,14
n302,Yandi Gao,Yandi Gao,14
n303,Brian Reid,Brian Reid,7
n304,Jessica Spiltoir,Jessica Spiltoir,7
n305,Kim Demos-Davies,Kim Demos-Davies,7
n306,Maria Cavasin,Maria Cavasin,7
n307,Matthew Stratton,Matthew Stratton,7
n308,A Agathanggelou,A Agathanggelou,13
n309,A Zlatanou,A Zlatanou,13
n310,C Oldreive,C Oldreive,13
n311,D Da Costa,D Da Costa,13
n312,E Petermann,E Petermann,13
n313,E Smith,E Smith,13
n314,G Stewart,G Stewart,13
n315,J Longman,J Longman,13
n316,P Kearns,P Kearns,13
n317,S Knapp,S Knapp,13
n318,T Perry,T Perry,13
n319,T Stankovic,T Stankovic,13
n320,V Weston,V Weston,13
n321,Alexandra Debernardi,Alexandra Debernardi,20
n322,Anouk Emadali,Anouk Emadali,20
n323,Benoit Bernay,Benoit Bernay,20
n324,Carlo Petosa,Carlo Petosa,20
n325,Charles McKenna,Charles McKenna,20
n326,Christophe Bruley,Christophe Bruley,20
n327,Claire Rome,Claire Rome,20
n328,Dominique Leroux,Dominique Leroux,20
n329,Elena Ferri,Elena Ferri,20
n330,Florence Combes,Florence Combes,20
n331,Jérôme Garin,Jérôme Garin,20
n332,Juliana Bruder-Costa,Juliana Bruder-Costa,20
n333,Mary Callanan,Mary Callanan,20
n334,Myriam Ferro,Myriam Ferro,20
n335,Patricia Betton,Patricia Betton,20
n336,Rémy Gressin,Rémy Gressin,20
n337,Saadi Khochbin,Saadi Khochbin,25
n338,Samuel Duley,Samuel Duley,20
n339,Sieme Hamaidia,Sieme Hamaidia,20
n340,Sophie Rousseaux,Sophie Rousseaux,25
n341,Alison Slaughter,Alison Slaughter,14
n342,Amit Sharma,Amit Sharma,18
n343,Elizabeth Coward,Elizabeth Coward,14
n344,Frances Male,Frances Male,14
n345,Frederic Bushman,Frederic Bushman,28
n346,Jacques Kessl,Jacques Kessl,14
n347,Li Wu,Li Wu,14
n348,Mamuka Kvaratskhelia,Mamuka Kvaratskhelia,18
n349,Matthew Plumb,Matthew Plumb,18
n350,Monica Roth,Monica Roth,18
n351,Nikolozi Shkriabai,Nikolozi Shkriabai,14
n352,Nirav Malani,Nirav Malani,28
n353,Patrick Green,Patrick Green,14
n354,Ross Larue,Ross Larue,18
n355,B Tolani,B Tolani,4
n356,H Matta,H Matta,4
n357,P Chaudhary,P Chaudhary,4
n358,R Gopalakrishnan,R Gopalakrishnan,4
n359,Alan Holmes,Alan Holmes,17
n360,Carla Bauer,Carla Bauer,22
n361,Christopher Denton,Christopher Denton,17
n362,Christopher Kitson,Christopher Kitson,22
